North America January - December Temperature Anomalies
Units: Degrees Celsius
Base Period: 1910-2000
Missing: -999
Date,Anomaly
191012,-0.36
191101,-0.55
191102,-0.31
191103,-0.50
191104,-0.55
191105,-0.48
191106,-0.42
191107,-0.45
191108,-0.47
191109,-0.44
191110,-0.44
191111,-0.64
191112,-0.56
191201,-0.59
191202,-0.56
191203,-0.71
191204,-0.72
191205,-0.72
191206,-0.80
191207,-0.87
191208,-0.89
191209,-0.93
191210,-0.95
191211,-0.73
191212,-0.74
191301,-0.72
191302,-0.81
191303,-0.81
191304,-0.76
191305,-0.84
191306,-0.82
191307,-0.79
191308,-0.72
191309,-0.75
191310,-0.89
191311,-0.92
191312,-0.90
191401,-0.70
191402,-0.83
191403,-0.73
191404,-0.81
191405,-0.77
191406,-0.78
191407,-0.74
191408,-0.76
191409,-0.70
191410,-0.48
191411,-0.50
191412,-0.62
191501,-0.63
191502,-0.31
191503,-0.28
191504,-0.03
191505,0.00
191506,-0.04
191507,-0.06
191508,-0.03
191509,-0.03
191510,-0.07
191511,0.01
191512,0.21
191601,0.04
191602,-0.10
191603,-0.13
191604,-0.30
191605,-0.28
191606,-0.24
191607,-0.18
191608,-0.19
191609,-0.19
191610,-0.24
191611,-0.36
191612,-0.60
191701,-0.57
191702,-0.65
191703,-0.64
191704,-0.76
191705,-0.95
191706,-1.00
191707,-0.99
191708,-1.02
191709,-1.00
191710,-1.14
191711,-1.06
191712,-1.30
191801,-1.39
191802,-1.42
191803,-1.39
191804,-1.41
191805,-1.34
191806,-1.34
191807,-1.42
191808,-1.44
191809,-1.49
191810,-1.33
191811,-1.42
191812,-1.00
191901,-0.68
191902,-0.55
191903,-0.63
191904,-0.52
191905,-0.40
191906,-0.33
191907,-0.24
191908,-0.17
191909,-0.10
191910,-0.23
191911,-0.29
191912,-0.41
192001,-0.66
192002,-0.51
192003,-0.49
192004,-0.66
192005,-0.74
192006,-0.78
192007,-0.83
192008,-0.89
192009,-0.90
192010,-0.74
192011,-0.71
192012,-0.61
192101,-0.47
192102,-0.56
192103,-0.47
192104,-0.32
192105,-0.25
192106,-0.15
192107,-0.09
192108,-0.08
192109,-0.08
192110,-0.09
192111,-0.07
192112,-0.01
192201,-0.02
192202,-0.21
192203,-0.28
192204,-0.27
192205,-0.29
192206,-0.39
192207,-0.50
192208,-0.47
192209,-0.45
192210,-0.49
192211,-0.42
192212,-0.55
192301,-0.59
192302,-0.52
192303,-0.66
192304,-0.68
192305,-0.69
192306,-0.61
192307,-0.53
192308,-0.57
192309,-0.60
192310,-0.56
192311,-0.48
192312,-0.36
192401,-0.42
192402,-0.29
192403,0.00
192404,-0.03
192405,-0.05
192406,-0.09
192407,-0.13
192408,-0.08
192409,-0.13
192410,-0.11
192411,-0.20
192412,-0.46
192501,-0.57
192502,-0.61
192503,-0.66
192504,-0.49
192505,-0.46
192506,-0.44
192507,-0.40
192508,-0.42
192509,-0.35
192510,-0.53
192511,-0.56
192512,-0.27
192601,0.07
192602,0.20
192603,0.18
192604,0.07
192605,0.10
192606,0.06
192607,0.04
192608,0.04
192609,-0.04
192610,0.19
192611,0.16
192612,0.00
192701,-0.07
192702,-0.11
192703,-0.07
192704,-0.10
192705,-0.17
192706,-0.18
192707,-0.17
192708,-0.21
192709,-0.13
192710,-0.16
192711,-0.20
192712,-0.31
192801,-0.25
192802,-0.23
192803,-0.22
192804,-0.31
192805,-0.21
192806,-0.20
192807,-0.18
192808,-0.15
192809,-0.19
192810,-0.22
192811,-0.03
192812,0.31
192901,0.20
192902,0.02
192903,-0.01
192904,0.11
192905,-0.01
192906,-0.03
192907,-0.06
192908,-0.01
192909,-0.03
192910,-0.01
192911,-0.17
192912,-0.41
193001,-0.57
193002,-0.42
193003,-0.44
193004,-0.35
193005,-0.29
193006,-0.22
193007,-0.16
193008,-0.13
193009,-0.08
193010,-0.18
193011,-0.08
193012,0.12
193101,0.47
193102,0.63
193103,0.58
193104,0.54
193105,0.52
193106,0.56
193107,0.59
193108,0.55
193109,0.63
193110,0.79
193111,0.85
193112,0.81
193201,0.63
193202,0.35
193203,0.32
193204,0.32
193205,0.42
193206,0.40
193207,0.34
193208,0.40
193209,0.32
193210,0.17
193211,-0.05
193212,-0.25
193301,-0.22
193302,-0.33
193303,-0.22
193304,-0.27
193305,-0.33
193306,-0.35
193307,-0.34
193308,-0.38
193309,-0.36
193310,-0.35
193311,-0.27
193312,-0.36
193401,-0.37
193402,-0.21
193403,-0.25
193404,-0.14
193405,-0.09
193406,-0.09
193407,-0.07
193408,-0.11
193409,-0.21
193410,-0.11
193411,0.02
193412,0.24
193501,0.11
193502,0.19
193503,0.19
193504,0.07
193505,-0.07
193506,-0.10
193507,-0.09
193508,-0.07
193509,-0.01
193510,-0.12
193511,-0.33
193512,-0.36
193601,-0.37
193602,-0.84
193603,-0.76
193604,-0.77
193605,-0.66
193606,-0.60
193607,-0.56
193608,-0.52
193609,-0.51
193610,-0.52
193611,-0.44
193612,-0.49
193701,-0.45
193702,-0.14
193703,-0.17
193704,-0.10
193705,-0.08
193706,-0.07
193707,-0.12
193708,-0.14
193709,-0.10
193710,-0.02
193711,0.04
193712,0.06
193801,0.16
193802,0.19
193803,0.27
193804,0.25
193805,0.22
193806,0.19
193807,0.17
193808,0.16
193809,0.24
193810,0.35
193811,0.31
193812,0.50
193901,0.62
193902,0.41
193903,0.23
193904,0.29
193905,0.33
193906,0.30
193907,0.32
193908,0.32
193909,0.23
193910,0.05
193911,0.12
193912,0.27
194001,0.20
194002,0.54
194003,0.68
194004,0.71
194005,0.69
194006,0.67
194007,0.65
194008,0.63
194009,0.68
194010,0.81
194011,0.68
194012,0.50
194101,0.53
194102,0.57
194103,0.54
194104,0.57
194105,0.58
194106,0.64
194107,0.66
194108,0.66
194109,0.54
194110,0.49
194111,0.59
194112,0.60
194201,0.69
194202,0.55
194203,0.66
194204,0.64
194205,0.61
194206,0.59
194207,0.56
194208,0.55
194209,0.58
194210,0.63
194211,0.59
194212,0.36
194301,0.11
194302,0.16
194303,-0.13
194304,-0.16
194305,-0.23
194306,-0.25
194307,-0.23
194308,-0.20
194309,-0.20
194310,-0.19
194311,-0.07
194312,0.13
194401,0.40
194402,0.40
194403,0.45
194404,0.47
194405,0.54
194406,0.56
194407,0.54
194408,0.51
194409,0.55
194410,0.54
194411,0.46
194412,0.41
194501,0.35
194502,0.38
194503,0.67
194504,0.51
194505,0.38
194506,0.30
194507,0.27
194508,0.28
194509,0.21
194510,0.17
194511,0.08
194512,-0.07
194601,-0.15
194602,-0.30
194603,-0.29
194604,-0.12
194605,-0.03
194606,0.02
194607,0.03
194608,0.02
194609,0.05
194610,0.02
194611,0.06
194612,0.16
194701,0.14
194702,0.23
194703,0.09
194704,-0.05
194705,-0.10
194706,-0.13
194707,-0.12
194708,-0.12
194709,-0.12
194710,0.03
194711,0.08
194712,0.18
194801,0.20
194802,0.04
194803,-0.17
194804,-0.16
194805,-0.10
194806,0.00
194807,0.02
194808,0.05
194809,0.11
194810,0.00
194811,0.01
194812,-0.16
194901,-0.29
194902,-0.36
194903,-0.15
194904,-0.08
194905,-0.12
194906,-0.17
194907,-0.21
194908,-0.19
194909,-0.27
194910,-0.32
194911,-0.19
194912,-0.15
195001,-0.24
195002,-0.11
195003,-0.21
195004,-0.33
195005,-0.34
195006,-0.34
195007,-0.38
195008,-0.48
195009,-0.48
195010,-0.43
195011,-0.64
195012,-0.53
195101,-0.42
195102,-0.36
195103,-0.46
195104,-0.37
195105,-0.30
195106,-0.31
195107,-0.25
195108,-0.17
195109,-0.15
195110,-0.25
195111,-0.25
195112,-0.45
195201,-0.45
195202,-0.36
195203,-0.27
195204,-0.17
195205,-0.15
195206,-0.08
195207,-0.08
195208,-0.09
195209,-0.08
195210,-0.01
